Tanggal,Aktual_kWh,Pred_LSTM_kWh,Pred_GRU_kWh
2020-01-01,168054591.0,160826270.0,165760670.0
2020-02-01,159814104.0,166505470.0,159341520.0
2020-03-01,159703143.0,164757860.0,155351650.0
2020-04-01,145784962.0,166986770.0,154210640.0
2020-05-01,143559380.85,163153520.0,154730500.0
2020-06-01,146153583.00000003,158702400.0,159611600.0
2020-07-01,158210001.0,170974610.0,167441250.0
2020-08-01,160332936.0,173124740.0,173326620.0
2020-09-01,162512815.0,177338080.0,177376600.0
2020-10-01,228370216.85000002,197976180.0,179962030.0
2020-11-01,169912534.0,194883360.0,184837000.0
2020-12-01,148790574.0,172464720.0,174836430.0
2021-01-01,143559380.85,160216420.0,153246560.0
2021-02-01,143559380.85,164528480.0,147000220.0
2021-03-01,150695025.0,165271600.0,152558740.0
2021-04-01,156200482.0,165534960.0,161620050.0
2021-05-01,228370216.85000002,162866020.0,172540400.0
2021-06-01,143559380.85,158018080.0,188734670.0
2021-07-01,173735664.0,173086340.0,182463580.0
2021-08-01,196593511.0,187707520.0,184504700.0
2021-09-01,186837074.00000003,203864690.0,193697890.0
2021-10-01,228370216.85000002,217468200.0,198275760.0
2021-11-01,211135398.0,172219680.0,191850640.0
2021-12-01,196745521.0,182524370.0,191993680.0
2022-01-01,186928414.0,185515650.0,186583730.0
2022-02-01,179955873.0,181787490.0,180190720.0
2022-03-01,187506961.0,180608340.0,178882460.0
2022-04-01,193250408.0,186670370.0,186313600.0
2022-05-01,189874933.00000003,204549090.0,196932780.0
2022-06-01,185886880.0,181083300.0,192069280.0
2022-07-01,202744897.0,202532640.0,197226580.0
2022-08-01,205931318.0,213354660.0,206839550.0
2022-09-01,215237047.0,216865630.0,211694050.0
2022-10-01,215411606.0,222530990.0,217211500.0
2022-11-01,198932914.0,214536800.0,208635220.0
2022-12-01,195911454.00000003,202183950.0,194312240.0
2023-01-01,193013594.00000003,193038400.0,186975570.0
2023-02-01,174234406.0,191005900.0,185776000.0
2023-03-01,197148014.0,195352160.0,182197470.0
2023-04-01,194383832.0,198804100.0,190839900.0
2023-05-01,205947900.0,201591570.0,198090980.0
2023-06-01,210386904.0,207428700.0,207617440.0
2023-07-01,224744173.0,215033220.0,215219260.0
2023-08-01,228370216.85000002,218181760.0,221396000.0
2023-09-01,220551483.0,219513570.0,222038750.0
2023-10-01,214306251.0,214860030.0,211803710.0
2023-11-01,208001177.0,201475310.0,199574060.0
2023-12-01,190195282.0,192770880.0,193634800.0
2024-01-01,183793574.00000003,187344480.0,187227220.0
2024-02-01,181915624.0,186282180.0,185585980.0
2024-03-01,178516104.0,196604640.0,190191100.0
2024-04-01,185582844.0,201796670.0,193997170.0
2024-05-01,198288412.0,209666190.0,203177150.0
2024-06-01,193975757.0,215753570.0,213958020.0
2024-07-01,205425976.0,220776220.0,218171780.0
2024-08-01,194979348.0,223061020.0,219698430.0
