Tanggal,Aktual_kWh,Prediksi_kWh
2023-09-01,152515824.0,142110350.0
2023-10-01,163946939.0,142865310.0
2023-11-01,160555402.0,151082850.0
2023-12-01,158579871.0,149927620.0
2024-01-01,145590719.0,147688720.0
2024-02-01,141912543.0,140285760.0
2024-03-01,159921463.0,139599380.0
2024-04-01,155599117.0,153769950.0
2024-05-01,170657958.0,154676900.0
2024-06-01,162330095.0,162763520.0
2024-07-01,160461104.0,155271220.0
2024-08-01,165458752.0,151143360.0
