Tanggal,Aktual_kWh,Prediksi_kWh
2024-02-01,141912543.0,155076880.0
2024-03-01,159921463.0,163112900.0
2024-04-01,155599117.0,165722240.0
2024-05-01,170657958.0,169273520.0
2024-06-01,162330095.0,168908670.0
2024-07-01,160461104.0,170205100.0
2024-08-01,165458752.0,171767360.0
