Tanggal,Prediksi_LSTM_kWh,Prediksi_GRU_kWh
2024-09-01,219474688.53048062,212162966.09571743
2024-10-01,212681606.87470853,212262980.16235614
2024-11-01,205083117.3300234,208122195.42654926
