Tanggal,Prediksi_kWh
2024-09-01,212162966.09571743
2024-10-01,209166371.43292892
2024-11-01,204498095.8581348
2024-12-01,197509327.21225876
2025-01-01,190755368.27431315
2025-02-01,184787533.74147385
