Tanggal,Prediksi_kWh
2024-09-01,196026412.62732697
2024-10-01,195468837.87586474
2024-11-01,195178327.3163947
2024-12-01,195061829.48872054
2025-01-01,195131214.3785243
2025-02-01,195275599.33245403
