Tanggal,Aktual_kWh,Prediksi_kWh
2023-09-01,220551483.0,215240640.0
2023-10-01,214306251.0,213176060.0
2023-11-01,208001177.0,210522370.0
2023-12-01,190195282.0,210509250.0
2024-01-01,183793574.0,210921340.0
2024-02-01,181915624.0,211982000.0
2024-03-01,178516104.0,216253250.0
2024-04-01,185582844.0,217467490.0
2024-05-01,198288412.0,219376670.0
2024-06-01,193975757.0,220104160.0
2024-07-01,205425976.0,220093020.0
2024-08-01,194979348.0,217935200.0
